title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen	3153	5396	1830	the-brave-command-dagwon-the-boy-with-crystal-eyes	2290	3084		yuusha-shirei-dagwon-suishou-no-hitomi-no-shounen		4083	12023	5396	yuusha+shirei+dagwon+-+suishou+no+hitomi+no+shounen	6640	j9cC5Kmmg		5396		4885	37356				
Yuusha Tokkyuu Might Gaine	1548	3486	1957	brave-express-might-gaine	761	2288		yuusha-tokkyuu-might-gaine		3046	6446	3486	yuusha+tokkyuu+might+gaine	8210	aGuwcKmiR		3486		4281	36332				
Yuusha, Yamemasu	16917	140457	24886	im-quitting-heroing	16667	9012		yuusha-yamemasu	243	45341	10842	50175	yuusha,+yamemasu	10732	z-DPH9O7g	2100	50175	6289	3261	1757919		190176	shows	1
Yuusha, Yamemasu Puchi Hiroma		154178		im-quitting-heroing-puchi-hiroma	19550			yuusha-yamemasu-puchi-hiroma	241			52977			M6w6--FVg		52977							
Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na		151126		im-quitting-heroing-specials	17327	9525		yuusha-yamemasu-kenshuu-ryokou-wa-mokuteki-wo-miushinau-na	242	46219	11176	51562	yuusha,+yamemasu+-+kenshuu+ryokou+wa+mokuteki+wo+miushinau+na	11176	I7Fp--KVg		51562		3781					
Yuusha-chan no Bouken wa Owatteshimatta!		184824			19973							60642					60642							
Yuusha-hime Miria		169941			18749			yuusha-hime-miria				56905					56905							
Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku	18124	167152		sentenced-to-be-a-hero	18551	11036		yuusha-kei-ni-shosu-choubatsu-yuusha-9004-tai-keimu-kiroku	24835	47759	12268	56009	yuusha-kei+ni+shosu+-+choubatsu+yuusha+9004-tai+keimu+kiroku	12028	rtLgoxCVg	2823	56009		5661	2211126				
Yuusha-Ou GaoGaiGar	957	890	1170	gaogaigar	93	2289		yuusha-ou-gaogaigar	2351	790	5012	890	yuusha-ou+gaogaigar	2715	K3qA5FiiR		890	2055	4280	37389				
Yuusha-Ou GaoGaiGar Final	1717	1382		gaogaigar-final	2795	3085		yuusha-ou-gaogaigar-final	2352	1236	7880	1382	yuusha-oh+gaogaigar+final	8212	eI6b5KmiR		1382	4201	4564	38038				
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering	3152	4416	5086	gaogaigar-final-grand-glorious-gathering	3149	2290		yuusha-ou-gaogaigar-final-grand-glorious-gathering	2353	3600	7158	4416	yuusha-ou+gaogaigar+final+grand+glorious+gathering	3291	q0sX5Kimg		4416	621		39485				
Yuusha-Ou GaoGaiGar: Blockaded Numbers				gaogaigar-blockaded-numbers				yuusha-ou-gaogaigar-blockaded-numbers	24106			52383					52383							
Yuuto-kun ga Iku	9932	18983	15385	yuuto-kun-ga-iku	8711	2256		yuuto-kun-ga-iku		9714	7862	18983			2wxYpKmiR		18983			47878				
Yuuto-kun ga Iku Movie	10454	116160		yuuto-kun-ga-iku-movie	9480	12297		yuuto-kun-ga-iku-movie		8398	495	22197			8KnApKmiR		22197			47880				
Yuutousei Ayaka no Uraomote		116400			15560			yuutousei-ayaka-no-uraomote				41396					41396							
Yuuwaku		2982	4890		3190			yuuwaku				2982					2982							
Yuuwaku Countdown		1383			2701			yuuwaku-countdown				1383					1383							
Yuuwaku Countdown: Akira		4608	2885		2994			yuuwaku-countdown-akira				4608					4608							
Yuuwaku★Office Lover 2	13549	163275		yuuwaku-office-lover-2	13130	6849		yuuwakuoffice-lover-2		41648	2961	36705	yuuwaku+office+lover+2	7425			36705			732615				
Yuuya: Shinkai Shoujo				yuuya-shinkai-shoujo						13498					n7R4hFmmg									
Yuuyake		153770										58183					58183							
Yuuyake Banchou	5166	12765		yuuyake-banchou	4260	9859		yuuyake-banchou		6807	11664	12765	yuuyake+banchou	7102	3HuNtFmig		12765			41475				
Yuuyake Dandan	11131	149037		yuuyake-dandan	10488			yuuyake-dandan		10749	1440	30309			eJ9QtKmmR		30309			479724				
Yuuyake Dandan: Manner Movies				yuuyake-dandan-manner-movies																				
Yuuyake ga Umareru Machi				yuuyake-ga-umareru-machi								61369					61369							
Yuuyake Hoshi		178699										59747					59747							
